상품ID,브랜드,순위,분류,상품명,할인율,할인가,총용량(g),단위가격(100g),리뷰수,평균별점,긍정리뷰비율,부정리뷰비율,품질언급비율,가성비언급비율,배송언급비율,저평점비율,최근 30일 리뷰비율,품질(긍정),품질(부정),구성/가성비(긍정),구성/가성비(부정),배송(긍정),배송(부정)
12275456252,KF365,11,과일·채소,[KF365] 가지 2입,10,3231,300,1077,996,4.81,0.75,0.25,0.96,0.5,0.47,0.07,0.1,신선함,크기,가성비,가격,배송,배송
12273077855,KF365,12,과일·채소,[KF365] 청양고추 200g,0,3490,200,1745,911,4.86,0.87,0.13,0.93,0.38,0.44,0.02,0.07,신선함,맛,가성비,기타,배송,배송
12274656691,KF365,13,과일·채소,[KF365] 냉동 다진 마늘 300g,0,6990,300,2330,2231,4.92,0.89,0.11,0.94,0.45,0.46,0.03,0.02,편의성,맛,가성비,알수없음,배송,배송
12274343236,KF365,14,과일·채소,[KF365] 밤고구마 800g,7,5090,800,3817,1587,4.81,0.73,0.27,0.95,0.36,0.37,0.08,0.08,맛있음,맛,가성비,가성비,배송,배송
12274623155,KF365,15,과일·채소,[KF365] 포기로메인 300g,0,4490,300,1497,390,4.84,0.84,0.16,0.94,0.52,0.54,0.02,0.23,신선함,크기,가성비,가성비,배송,배송
12274345804,KF365,16,과일·채소,[KF365] 청상추 150g,0,1790,150,1193,211,4.87,0.98,0.02,0.98,0.52,0.52,0.01,0.17,신선함,야채신선도,가성비,키워드 없음,배송,배송
12273073684,KF365,17,과일·채소,[KF365] 양파 1.8kg,0,4990,1800,277,177,4.8,0.92,0.08,0.96,0.46,0.56,0.0,0.16,신선함,가격,가성비,가격,배송,배송
12273067787,KF365,18,과일·채소,[KF365] 적상추 150g,0,1790,150,1193,97,4.79,0.81,0.19,0.99,0.57,0.59,0.0,0.13,신선함,신선도,가성비,가성비,배송,배송
12274595283,KF365,1,육수,[KF365] 17가지 재료로 만든 코인 육수링 100g (25정),11,7980,4,1995000,548,4.87,0.85,0.15,0.94,0.58,0.5,0.01,0.11,맛,맛,가성비,가성비,배송,배송
12344983418,kurly's,1,달걀,[Kurly's] 동물복지 유정란 20구,5,9680,20,193600,4480,4.85,0.64,0.36,0.95,0.49,0.58,0.15,0.06,신선함,파손,가성비,가성비,배송,배송
12275462136,kurly's,3,달걀,[Kurly's] 자유방목 동물복지 유정란 10구,0,7390,10,73900,1846,4.83,0.71,0.29,0.92,0.42,0.63,0.12,0.04,신선함,계란깨짐,가성비,가격,배송,배송
12274353062,kurly's,4,달걀,[Kurly's] 깐 메추리 유정란 450g,0,5990,450,1331,1089,4.85,0.84,0.16,0.93,0.47,0.43,0.02,0.05,맛,맛,가성비,가성비,배송,배송
12274354126,kurly's,5,달걀,[Kurly's] 동물복지 구운란 10구,0,7000,10,70000,535,4.82,0.84,0.16,0.96,0.48,0.45,0.02,0.08,맛,맛,가성비,먹을만함,배송,배송
12274609876,kurly's,6,가공육,[Kurly's] 1++ 한우 국거리 250g (냉장),20,14880,250,113088,726,4.82,0.83,0.17,0.93,0.5,0.45,0.04,0.06,맛,질김,가성비,가성비,배송,배송
12274470853,kurly's,7,달걀,[Kurly's] 계란옷 입은 고기완자 500g,10,6500,500,11700,698,4.88,0.88,0.12,0.94,0.56,0.39,0.02,0.12,맛있음,맛,가성비,가성비,배송,배송
12579241531,kurly's,9,달걀,[Kurly's] 1등급 동물복지 목초 유정란 15구,10,8091,15,485460,1049,4.81,0.8,0.2,0.94,0.47,0.59,0.04,0.06,신선함,신선도,가성비,가격,배송,배송
12274344756,kurly's,10,달걀,[Kurly's] 깐 메추리 유정란 270g,0,4190,270,1552,464,4.88,0.33,0.67,0.67,0.5,0.5,0.17,0.0,장보기,맛,편리함,가성비,배송,배송
12274354103,kurly's,11,달걀,[Kurly's] 동물복지 반숙란 6구,0,4700,6,78333,359,4.82,0.2,0.8,1.0,0.3,0.5,0.2,0.0,건강,품질,키워드 없음,구성,키워드 없음,배송
